"id_program,nama_program,jenis_program,bidang_kompetensi,penyelenggara,metode,status,tanggal_mulai,tanggal_selesai,deadline,kuota,link,deskripsi"
"1,Pelatihan Data Analytics untuk ASN,Pelatihan,Data Digital,Komdigi,Online,Dibuka,2026-07-15,2026-07-17,2026-07-05,30,https://example.com/data-analytics,Pelatihan analisis data dan visualisasi untuk ASN"
"2,Sertifikasi Data Analyst BNSP,Sertifikasi,Data Digital,BNSP,Offline,Dibuka,2026-08-10,2026-08-12,2026-07-30,20,https://example.com/bnsp-data,Sertifikasi kompetensi data analyst"
"3,Webinar AI Productivity for Government,Webinar,Data Digital,Komdigi,Online,Dibuka,2026-06-25,2026-06-25,2026-06-24,500,https://example.com/ai-productivity,Pengenalan AI untuk mendukung produktivitas ASN"
"4,Workshop Manajemen Talenta ASN,Workshop,SDM,LAN,Hybrid,Akan Dibuka,2026-09-05,2026-09-06,2026-08-15,50,https://example.com/talent-management,Workshop pengelolaan talenta ASN"
"5,Beasiswa Magister Administrasi Publik,Beasiswa,Administrasi,Kementerian PANRB,Offline,Dibuka,2026-09-01,2028-08-31,2026-07-20,15,https://example.com/beasiswa-map,Program beasiswa S2 Administrasi Publik"
"6,Pelatihan Pengelolaan BMN,Pelatihan,Keuangan,Kementerian Keuangan,Online,Dibuka,2026-07-20,2026-07-22,2026-07-10,40,https://example.com/bmn,Pelatihan pengelolaan Barang Milik Negara"
"7,Sertifikasi Pengadaan Barang dan Jasa,Sertifikasi,Keuangan,LKPP,Hybrid,Dibuka,2026-08-15,2026-08-18,2026-08-01,25,https://example.com/lkpp,Sertifikasi PBJ tingkat dasar"
"8,Webinar Kearsipan Digital,Webinar,Kearsipan,ANRI,Online,Dibuka,2026-07-01,2026-07-01,2026-06-30,1000,https://example.com/anri,Webinar pengelolaan arsip digital"
"9,Pelatihan Kepemimpinan Pengawas,Pelatihan,Kepemimpinan,LAN,Offline,Akan Dibuka,2026-10-10,2026-10-15,2026-09-15,35,https://example.com/pkp,Pelatihan kepemimpinan pengawas"
"10,Workshop Penyusunan Regulasi,Workshop,Hukum,Biro Hukum Komdigi,Hybrid,Dibuka,2026-07-28,2026-07-29,2026-07-20,50,https://example.com/regulasi,Workshop penyusunan dan harmonisasi regulasi"
